"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Carex filifolia",-113.6451,45.6471,"cdc,incomis,inmafu","US",NA,"PRESENT",969,"MONTU","4069872049",NA,"PRESERVED_SPECIMEN",1980,6,11,"1980-06-11","WGS84",NA,"86648"
"Carex filifolia",-119.260148,38.044484,"cdc,colmafu,inmafu","US",NA,"PRESENT",969,"RENO","4404866831","https://intermountainbiota.org/portal/collections/individual/index.php?occid=13352672","PRESERVED_SPECIMEN",1980,7,23,"1980-07-23","WGS84",NA,"89326"
"Carex filifolia",-118.426693,36.688723,"cdc,gass84,inmafu","US",NA,"PRESENT",969,"HSC","2982023978","https://cch2.org/portal/collections/individual/index.php?occid=1815441","PRESERVED_SPECIMEN",1980,8,26,"1980-08-26","WGS84",NA,NA
"Carex filifolia",-105.825853,36.210053,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",200,"ASU","2270557009","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099906","PRESERVED_SPECIMEN",1979,5,29,"1979-05-29","WGS84",NA,"ASU0060214"
"Carex filifolia",-105.859911,36.211,"cdc,colmafu,inmafu","US",NA,"PRESENT",759,"UNM","1843811896","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4022200","PRESERVED_SPECIMEN",1979,5,29,"1979-05-29","WGS84",NA,"UNM0088751"
"Carex filifolia",-106.1192367,43.8795662,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073890720",NA,"PRESERVED_SPECIMEN",1979,5,27,"1979-05-27","WGS84",NA,"84071"
"Carex filifolia",-96.183893,47.201968,"cdc,ambcol","US",NA,"PRESENT",800,"MIN","2265494598","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=51872","PRESERVED_SPECIMEN",1979,6,11,"1979-06-11","WGS84",NA,"717743"
"Carex filifolia",-106.5661465,43.6213658,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073939442",NA,"PRESERVED_SPECIMEN",1979,6,5,"1979-06-05","WGS84",NA,"84009"
"Carex filifolia",-107.0779534,42.960669,"cdc,cdrep,incomis,inmafu","US",NA,"PRESENT",800,"ID","4073835068",NA,"PRESERVED_SPECIMEN",1979,7,5,"1979-07-05","WGS84",NA,"84014"
"Carex filifolia",-114.798905,43.903557,"cdc,incomis,inmafu","US",NA,"PRESENT",940,"ID","4073950681",NA,"PRESERVED_SPECIMEN",1979,8,9,"1979-08-09","WGS84",NA,"169719"
